phase,regime_family,regime,model,rows,date_start,date_end,actual_mean_return,actual_return_std,actual_positive_rate,prediction_mean_return,prediction_positive_rate,rmse,mae,r2,mean_error_bias,directional_accuracy,balanced_accuracy,precision_positive,recall_positive,f1_positive,matthews_correlation,roc_auc,average_precision,zero_return_rmse,rmse_improvement_vs_zero_pct,majority_direction_accuracy,directional_accuracy_minus_majority
test,brazil_weather_regime,normal_weather,random_forest_technical,321,2022-10-07,2026-07-27,0.010015010949483804,0.057735519683880084,0.5295950155763239,-0.00644540748776837,0.3395638629283489,0.05992507050158242,0.046129454219174644,-0.08065235139890059,-0.016460418437252176,0.4984423676012461,0.5079664978574211,0.5412844036697247,0.34705882352941175,0.4229390681003584,0.016793035042474928,0.5610440202571094,0.5652433562583328,0.05850902737386977,-0.02420213070137378,0.5295950155763239,-0.03115264797507783
test,brazil_weather_regime,normal_weather,mlp_price_history,321,2022-10-07,2026-07-27,0.010015010949483804,0.057735519683880084,0.5295950155763239,-0.005691107205312807,0.4174454828660436,0.06529916982679107,0.050167273607712164,-0.2831700531026966,-0.015706118154796608,0.4953271028037383,0.5002142578885859,0.5298507462686567,0.4176470588235294,0.46710526315789475,0.0004337171031171654,0.5148811842617842,0.5279774227385138,0.05850902737386977,-0.11605290256378109,0.5295950155763239,-0.03426791277258562
test,brazil_weather_regime,normal_weather,elm_price_history,321,2022-10-07,2026-07-27,0.010015010949483804,0.057735519683880084,0.5295950155763239,0.0002978646304670789,0.5358255451713395,0.05912684818427669,0.04719973482608329,-0.05205477950433379,-0.009717146319016726,0.4953271028037383,0.49318270354499416,0.5232558139534884,0.5294117647058824,0.5263157894736842,-0.013645760743508742,0.5033502142578886,0.540914781489295,0.05850902737386977,-0.010559410028457172,0.5295950155763239,-0.03426791277258562
test,brazil_weather_regime,normal_weather,hedonic_weather_cot_ridge,321,2022-10-07,2026-07-27,0.010015010949483804,0.057735519683880084,0.5295950155763239,-0.02598581613719794,0.04984423676012461,0.07093506526414044,0.05385569640720139,-0.5142264944536148,-0.03600082708668175,0.4766355140186916,0.5032917802882743,0.5625,0.052941176470588235,0.0967741935483871,0.015099544949151753,0.44363069731203747,0.511792578446417,0.05850902737386977,-0.21237813117057835,0.5295950155763239,-0.05295950155763235
test,brazil_weather_regime,normal_weather,threshold_ar_npi,321,2022-10-07,2026-07-27,0.010015010949483804,0.057735519683880084,0.5295950155763239,0.0012601132290738074,0.6417445482866043,0.05837010292654593,0.04596854842920954,-0.025297300031130954,-0.008754897720409997,0.5327102803738317,0.5244059213089209,0.5485436893203883,0.6647058823529411,0.601063829787234,0.05081075010155306,0.5068952084144915,0.5055762872917268,0.05850902737386977,0.002374410472355204,0.5295950155763239,0.0031152647975077885
test,brazil_weather_regime,normal_weather,cot_contract_stress_forest,321,2022-10-07,2026-07-27,0.010015010949483804,0.057735519683880084,0.5295950155763239,-0.0009490099650317117,0.6355140186915887,0.05895593902541004,0.04589034122052191,-0.04598153413226558,-0.010964020914515517,0.5451713395638629,0.5372808726139462,0.5588235294117647,0.6705882352941176,0.6096256684491979,0.07732518799047382,0.5309310479158551,0.5554860458862524,0.05850902737386977,-0.0076383367080181674,0.5295950155763239,0.015576323987538943
test,brazil_weather_regime,normal_weather,hist_gradient_boosting_integrated,321,2022-10-07,2026-07-27,0.010015010949483804,0.057735519683880084,0.5295950155763239,-0.013918455930515734,0.1806853582554517,0.0647443120649162,0.049036870248380944,-0.2614560872582583,-0.02393346687999954,0.5077881619937694,0.5267822360732373,0.603448275862069,0.20588235294117646,0.30701754385964913,0.06948609292770819,0.49435138293728087,0.5366310517917519,0.05850902737386977,-0.10656961790192265,0.5295950155763239,-0.02180685358255452
test,brazil_weather_regime,normal_weather,xgboost_integrated,321,2022-10-07,2026-07-27,0.010015010949483804,0.057735519683880084,0.5295950155763239,-0.007177771239607113,0.22741433021806853,0.06129173000398201,0.04723392912746268,-0.13050543629913536,-0.01719278218909092,0.5109034267912772,0.5271328398909232,0.589041095890411,0.2529411764705882,0.35390946502057613,0.06461761309606948,0.49783794312426954,0.5263967272581772,0.05850902737386977,-0.0475602271138591,0.5295950155763239,-0.01869158878504673
test,brazil_weather_regime,normal_weather,xgboost_regime_aware,321,2022-10-07,2026-07-27,0.010015010949483804,0.057735519683880084,0.5295950155763239,-0.005369422877316606,0.3364485981308411,0.060563726190204385,0.046646652538088605,-0.10380935416370018,-0.01538443382680041,0.514018691588785,0.5237826256330347,0.5648148148148148,0.3588235294117647,0.43884892086330934,0.05024594864673994,0.5172964550058434,0.562285170509957,0.05850902737386977,-0.03511763754343744,0.5295950155763239,-0.015576323987538943
test,brazil_weather_regime,normal_weather,research_ensemble,321,2022-10-07,2026-07-27,0.010015010949483804,0.057735519683880084,0.5295950155763239,-0.0022371507478222727,0.4392523364485981,0.05851691929772392,0.04548669983105112,-0.030461578779793053,-0.012252161697306078,0.5233644859813084,0.5270549279314375,0.5602836879432624,0.4647058823529412,0.5080385852090032,0.05441811605654092,0.5471756914686404,0.5537745526082078,0.05850902737386977,-0.00013488386678739417,0.5295950155763239,-0.006230529595015577
