event_id,event_start,event_end,peak_date,peak_close,peak_drift_score,return_5d,return_20d,cot_report_date_used,cot_release_date_estimate,cot_fill_status,cot_days_since_report,most_abnormal_cot_context
17,2003-09-08,2003-09-18,2003-09-18,60.599998474121094,2.6494176341407973,-0.13859275353910105,0.025380711315192706,2003-09-16,2003-09-19,forward_filled_from_previous_cot,2.0,Open_Interest_All z=1.2; noncommercial_net z=0.2; commercial_net z=0.0
63,2011-07-18,2011-08-19,2011-08-17,263.20001220703125,2.644485064078572,0.12071537307527147,0.08134765327466531,2011-08-16,2011-08-19,forward_filled_from_previous_cot,1.0,Open_Interest_All z=0.8; commercial_net z=0.3; noncommercial_net z=0.2; swap_dealer_net z=0.2; managed_money_net_pct_oi z=0.1
145,2025-12-17,2025-12-19,2025-12-18,345.45001220703125,2.6410980334326157,-0.14798371733520332,-0.14598266450672126,2025-12-16,2025-12-19,forward_filled_from_previous_cot,2.0,swap_dealer_net z=1.8; managed_money_net_pct_oi z=1.1; noncommercial_net z=0.6; commercial_net z=0.5; Open_Interest_All z=0.0
132,2023-11-30,2023-12-28,2023-12-18,209.5500030517578,2.584755007003256,0.08015465490596818,0.17790899517225278,2023-12-12,2023-12-15,forward_filled_from_previous_cot,6.0,noncommercial_net z=0.8; commercial_net z=0.8; managed_money_net_pct_oi z=0.7; Open_Interest_All z=0.7; swap_dealer_net z=0.2
140,2025-04-28,2025-04-28,2025-04-28,421.5499877929687,2.5777958370257488,0.14926390900236974,0.10948802276461023,2025-04-22,2025-04-25,forward_filled_from_previous_cot,6.0,swap_dealer_net z=2.5; managed_money_net_pct_oi z=1.3; noncommercial_net z=1.0; commercial_net z=1.0; Open_Interest_All z=0.2
51,2009-08-06,2009-08-11,2009-08-07,137.89999389648438,2.5353093517761356,0.07860770858278543,0.2279607315142087,2009-08-04,2009-08-07,forward_filled_from_previous_cot,3.0,Open_Interest_All z=0.8; swap_dealer_net z=0.5; managed_money_net_pct_oi z=0.3; noncommercial_net z=0.1; commercial_net z=0.0
38,2007-06-01,2007-06-07,2007-06-01,117.4000015258789,2.518019835204452,0.03573006710434545,0.15836214399012594,2007-05-29,2007-06-01,forward_filled_from_previous_cot,3.0,managed_money_net_pct_oi z=1.0; swap_dealer_net z=0.9; noncommercial_net z=0.5; commercial_net z=0.5; Open_Interest_All z=0.0
14,2002-12-11,2002-12-12,2002-12-12,58.04999923706055,2.5157188902303975,-0.13228702671097725,-0.08941177667356004,2002-12-10,2002-12-13,forward_filled_from_previous_cot,2.0,Open_Interest_All z=1.2; commercial_net z=0.1; noncommercial_net z=0.0
110,2020-01-28,2020-02-14,2020-01-29,102.0500030517578,2.5139472036206034,-0.08063060313731718,-0.2277714130528411,2020-01-28,2020-01-31,forward_filled_from_previous_cot,1.0,Open_Interest_All z=1.9; commercial_net z=0.8; noncommercial_net z=0.7; swap_dealer_net z=0.4; managed_money_net_pct_oi z=0.1
139,2025-04-07,2025-04-10,2025-04-09,341.70001220703125,2.511872614804703,-0.12125496504153987,-0.12876083230038893,2025-04-08,2025-04-11,forward_filled_from_previous_cot,1.0,swap_dealer_net z=2.7; managed_money_net_pct_oi z=1.2; noncommercial_net z=1.1; commercial_net z=1.0; Open_Interest_All z=0.2
89,2016-11-04,2016-11-07,2016-11-07,174.35000610351562,2.503006113858495,0.0621383648266447,0.17804058178051108,2016-11-01,2016-11-04,forward_filled_from_previous_cot,6.0,commercial_net z=1.9; noncommercial_net z=1.8; managed_money_net_pct_oi z=1.3; Open_Interest_All z=0.8; swap_dealer_net z=0.5
147,2026-06-16,2026-06-17,2026-06-16,277.25,2.499385313973613,0.134410830294166,0.0038015486841531665,2026-06-16,2026-06-19,original_cot_row,0.0,swap_dealer_net z=1.0; Open_Interest_All z=0.5; commercial_net z=0.3; managed_money_net_pct_oi z=0.1; noncommercial_net z=0.1
