weather_vietnam_dak_lak_temperature_2m_mean,weather_vietnam_dak_lak_temperature_2m_max,weather_vietnam_dak_lak_temperature_2m_min,weather_vietnam_dak_lak_precipitation_sum,weather_vietnam_dak_lak_rain_sum,weather_vietnam_dak_lak_relative_humidity_2m_mean,weather_vietnam_dak_lak_wind_speed_10m_mean,weather_vietnam_dak_lak_shortwave_radiation_sum,weather_vietnam_dak_lak_et0_fao_evapotranspiration,weather_vietnam_dak_lak_soil_moisture_0_to_100cm_mean,weather_vietnam_dak_lak_soil_temperature_0_to_100cm_mean,weather_vietnam_dak_lak_vapour_pressure_deficit_max,Date
24.8,27.9,22.5,1.0,1.0,80,7.1,17.53,3.66,0.385,25.4,1.16,2000-08-16
24.0,27.8,21.5,7.2,7.2,83,5.5,15.69,3.23,0.385,25.3,1.24,2000-08-17
23.9,26.8,21.9,1.7,1.7,84,3.3,12.95,2.68,0.388,25.1,1.0,2000-08-18
23.7,26.8,21.2,8.3,8.3,86,4.6,14.04,2.83,0.393,25.0,1.04,2000-08-19
22.9,24.8,21.3,3.9,3.9,92,5.7,8.03,1.67,0.395,24.8,0.41,2000-08-20
22.7,24.8,21.5,10.5,10.5,93,9.9,6.84,1.48,0.401,24.6,0.49,2000-08-21
23.7,26.9,21.3,6.7,6.7,86,16.5,13.09,2.85,0.404,24.5,0.93,2000-08-22
23.9,26.5,22.3,6.4,6.4,83,12.8,14.68,3.2,0.405,24.6,0.98,2000-08-23
24.1,28.0,22.1,1.7,1.7,81,13.5,17.96,3.82,0.405,24.6,1.29,2000-08-24
24.6,28.0,22.7,2.1,2.1,80,11.0,17.86,3.76,0.404,24.7,1.25,2000-08-25
25.1,28.8,22.5,0.8,0.8,78,8.6,19.87,4.13,0.402,24.8,1.48,2000-08-26
24.9,28.8,22.4,8.7,8.7,81,8.2,19.52,4.03,0.4,24.9,1.35,2000-08-27
24.4,27.1,22.6,2.2,2.2,84,8.8,14.95,3.03,0.405,24.8,0.98,2000-08-28
23.6,26.4,21.4,15.9,15.9,86,12.4,14.71,3.03,0.409,24.7,1.08,2000-08-29
