feature,is_cot_feature,is_weather_feature,train_mean,test_mean,train_std,standardized_mean_diff,abs_standardized_mean_diff,corr_with_target_train,corr_with_target_test,corr_with_abs_error_test,corr_with_signed_error_test,missing_rate_train,missing_rate_test
weather_brazil_minas_gerais_shortwave_radiation_sum_roll20,False,True,18.001161623884048,19.29329361914257,2.909701173580246,0.44407721555427515,0.44407721555427515,0.005648374436195352,0.013917649409648953,-0.13501772754998342,0.017984357874110016,0.0015839493136219642,0.0
Tot_Rept_Positions_Long_Old,True,False,108874.05177879536,135714.17547357926,61686.11678594079,0.4351080128438427,0.4351080128438427,0.009805149834535742,0.04993004493370236,0.02138516631475195,0.05512889849333928,0.0007039774727208729,0.0
Conc_Gross_LE_4_TDR_Short_Other,True,False,38.56028531172948,32.541874376869394,13.894075330250793,-0.4331638336346526,0.4331638336346526,0.012221728598122195,0.11680768906976775,0.036059937710429174,0.12590213795987124,0.0007039774727208729,0.0
weather_colombia_huila_shortwave_radiation_sum,False,True,18.510806054206263,20.067836490528414,3.6015160733296243,0.4323263882819955,0.4323263882819955,0.02937022581007581,0.023166574651418772,0.0007641585415609024,0.022280714159606297,0.0,0.0
Pct_of_OI_Swap_Short_Other,True,False,8.802180685358255,13.846802325581395,11.797116240556598,0.42761481173513727,0.42761481173513727,-0.004084794530884279,-0.034039940696638196,-0.01583705314784193,0.024322787668548708,0.7740232312565998,0.6570289132602194
weather_brazil_minas_gerais_temperature_2m_max_roll20,False,True,25.198701077343905,26.053474576271185,2.0021786040511182,0.4269217027880377,0.4269217027880377,0.015580479377415638,0.0023743527655071058,-0.07391646440445213,0.005031594618153321,0.0015839493136219642,0.0
Pct_of_OI_Other_Rept_Short_Other,True,False,8.305607476635513,11.158430232558139,6.68971824399765,0.4264488655381445,0.4264488655381445,-0.023934816356585634,-0.0100457865048085,-0.11853296220835934,-0.0038582217868268803,0.7740232312565998,0.6570289132602194
weather_brazil_minas_gerais_et0_fao_evapotranspiration_roll20,False,True,3.662217558427902,3.96718594217348,0.7228350333940983,0.4219059254967036,0.4219059254967036,0.00964939414612311,-0.00882641765110953,-0.11744584750927844,-0.005545714619609307,0.0015839493136219642,0.0
Traders_NonComm_Long_All,True,False,113.88279472007282,127.9742033383915,33.76789267562493,0.41730198427485665,0.41730198427485665,0.01854699838644879,0.04357491305111903,0.02354380568908597,0.06562850150942384,0.22668074621612108,0.34297108673978066
weather_colombia_huila_wind_speed_10m_mean_roll5,False,True,5.473799800504606,6.531465603190428,2.547813972071437,0.4151267770252131,0.4151267770252131,-0.0053637337883347186,-0.060140399357374946,-0.009536113415047471,-0.07282129273862174,0.00017599436818021823,0.0
Conc_Net_LE_8_TDR_Short_All,True,False,25.960619936597393,23.85014955134596,5.113654101848568,-0.4127127770508577,0.4127127770508577,-0.028107419367851473,-0.01545481900816413,-0.06066901564335499,-0.0008515955079973626,0.0007039774727208729,0.0
Other_Rept_Positions_Long_Other,True,False,4858.4003115264795,6970.2441860465115,5133.896911076601,0.41135299580395523,0.41135299580395523,-0.01612418551475504,0.010707582413506589,-0.05874265354163971,0.01787248507667781,0.7740232312565998,0.6570289132602194
weather_vietnam_dak_lak_rain_sum_roll20,False,True,3.727754592678578,5.314700897308078,3.913903379023814,0.40546384285687403,0.40546384285687403,0.043792005128779427,-0.04729277759649992,-0.05739877558307765,-0.06621779104250755,0.0015839493136219642,0.0
weather_vietnam_dak_lak_precipitation_sum_roll20,False,True,3.727754592678578,5.314700897308078,3.913903379023814,0.40546384285687403,0.40546384285687403,0.043792005128779427,-0.04729277759649992,-0.05739877558307765,-0.06621779104250755,0.0015839493136219642,0.0
M_Money_Positions_Short_Old,True,False,31782.52492211838,20513.93604651163,27794.307572267848,-0.40542794046253344,0.40542794046253344,0.09978959612205461,0.09497977290774422,0.052967874234269456,0.015144585440653386,0.7740232312565998,0.6570289132602194
NonComm_Positions_Spread_Other,True,False,3757.767637687756,6467.5553869499245,6757.348436416126,0.40101347070676585,0.40101347070676585,0.04707206906452702,0.04257202780649613,-0.016322582361770376,0.023705566012963777,0.22668074621612108,0.34297108673978066
volatility_20,False,False,0.02042956037373844,0.02306691070223269,0.006618239313568143,0.39849727450734285,0.39849727450734285,-0.05337335012075688,-0.025816297460170817,-0.12175931984582923,0.007495241012566711,0.0017599436818021823,0.0
Tot_Rept_Positions_Short_Old,True,False,112270.7139837971,136852.44366899302,62237.32117458797,0.39496766925811777,0.39496766925811777,0.009353038516585017,0.04856194003757896,0.020762820242589734,0.054457536437059965,0.0007039774727208729,0.0
Conc_Gross_LE_8_TDR_Short_Other,True,False,53.55154984149348,48.11754735792622,13.819948675441083,-0.3931999033559239,0.3931999033559239,0.01312211073174247,0.09043170199552597,0.024174560972882238,0.1014456862839407,0.0007039774727208729,0.0
Open_Interest_Old,True,False,117888.35628742515,142754.4955134596,63535.24143101817,0.3913755368826647,0.3913755368826647,0.00994408568044291,0.04844023518659771,0.021618321929281238,0.05377848703985536,0.0007039774727208729,0.0
weather_vietnam_dak_lak_shortwave_radiation_sum_roll5,False,True,17.99651264448747,19.479840478564306,3.8059253871334815,0.38974170095174593,0.38974170095174593,-0.04239227479483098,0.04412878207512799,0.08061176555388042,0.043957782110559125,0.00017599436818021823,0.0
Traders_Tot_Rept_Short_Other,True,False,93.5589996477633,114.3529411764706,53.432356185478056,0.38916385151584815,0.38916385151584815,0.007254335897233627,0.0021102736529791063,-0.009976884132436838,-0.0020062464902338675,0.0007039774727208729,0.0
Pct_of_OI_Other_Rept_Spread_Old,True,False,4.203193146417445,5.310755813953489,2.8777937265786675,0.3848652032655571,0.3848652032655571,0.00018158632618718007,0.08640863341653332,0.05641539807954418,0.04545805565810763,0.7740232312565998,0.6570289132602194
Traders_Comm_Long_Old,True,False,95.54665452890305,85.09559939301973,27.161550299358783,-0.3847738814868033,0.3847738814868033,-0.028433981489540995,-0.0327678142635329,0.004039121418456708,-0.019430774575205825,0.22668074621612108,0.34297108673978066
Prod_Merc_Positions_Short_Old,True,False,67422.07632398754,55959.03779069767,30342.87081366473,-0.37778358559690256,0.37778358559690256,0.025888638878354842,0.0919128277055465,0.013334176553407939,0.06725317891358473,0.7740232312565998,0.6570289132602194
Traders_Tot_Other,True,False,152.9638957379359,184.1814556331007,82.77256244247448,0.37714864653200125,0.37714864653200125,0.010674756786207733,-0.004644875248435635,-0.015451588291942512,-0.01350772039772183,0.0007039774727208729,0.0
Traders_Other_Rept_Short_Old,True,False,37.40413683373111,40.98823529411764,9.55976417874605,0.3749149449057497,0.3749149449057497,-0.023509724578435566,0.14425848563567406,0.01184444106799839,0.15783812024578683,0.7787750791974657,0.6610169491525424
weather_brazil_minas_gerais_vapour_pressure_deficit_max_roll5,False,True,1.5744923722349353,1.7533978065802596,0.48737170963586673,0.3670821075745062,0.3670821075745062,0.022077872600830196,-0.033159424756811814,-0.10586385232943049,-0.023326751618975173,0.00017599436818021823,0.0
weather_brazil_minas_gerais_temperature_2m_max_roll5,False,True,25.19527313266444,26.079042871385845,2.42835245662033,0.3639380009734647,0.3639380009734647,0.036495814220061276,0.026496770713385943,-0.09954607177456518,0.03537774583526079,0.00017599436818021823,0.0
Traders_Tot_Rept_Long_Other,True,False,110.26294469883761,134.33499501495513,67.64892225286142,0.3558378982911189,0.3558378982911189,0.014221210427952364,-0.009097081368747241,-0.014318641169599213,-0.021834535003771773,0.0007039774727208729,0.0
weather_colombia_huila_wind_speed_10m_mean,False,True,5.476451953537486,6.521136590229313,2.9703963675615825,0.3516987322299397,0.3516987322299397,-0.00497621100260722,-0.056476713336615386,-0.011724994687591424,-0.0687917870584767,0.0,0.0
Pct_of_OI_Other_Rept_Long_All,True,False,7.7565420560747675,6.999418604651163,2.21556793349027,-0.3417288361954573,0.3417288361954573,0.11584506936044424,0.012664364212479512,0.05132242572657383,-0.04212152822309425,0.7740232312565998,0.6570289132602194
weather_colombia_huila_precipitation_sum_roll20,False,True,3.449426651662073,4.3531704885343965,2.682593800139162,0.3368917936161043,0.3368917936161043,-0.017208243142440523,0.021238608610553704,-0.0037039907933366246,0.02863982343284832,0.0015839493136219642,0.0
weather_colombia_huila_rain_sum_roll20,False,True,3.449426651662073,4.3531704885343965,2.682593800139162,0.3368917936161043,0.3368917936161043,-0.017208243142440523,0.021238608610553704,-0.0037039907933366246,0.02863982343284832,0.0015839493136219642,0.0
M_Money_Positions_Spread_Other,True,False,1865.8917445482866,3568.0668604651164,5062.472222219337,0.33623396656794163,0.33623396656794163,0.009145358254032485,-0.09660155313473365,-0.01693188225739473,-0.06578770297635135,0.7740232312565998,0.6570289132602194
weather_brazil_minas_gerais_et0_fao_evapotranspiration_roll5,False,True,3.6619185882767122,3.966019940179462,0.9118469317082131,0.33350043886539155,0.33350043886539155,0.03169464927909606,-0.012158564082446111,-0.13668198794390143,0.0011360053049742887,0.00017599436818021823,0.0
weather_brazil_minas_gerais_soil_temperature_0_to_100cm_mean,False,True,21.102727912706793,21.760817547357924,2.0130610189375866,0.32690992893918525,0.32690992893918525,0.01590489355433637,0.027499748245928473,-0.006066380002101127,0.04587434818076376,0.0,0.0
weather_brazil_minas_gerais_shortwave_radiation_sum_roll5,False,True,17.998866778149388,19.276207377866402,3.929067574922839,0.3251001860771253,0.3251001860771253,0.029696188287859856,-0.010819711363774333,-0.1450518909789567,0.002022682902034214,0.00017599436818021823,0.0
Pct_of_OI_Tot_Rept_Short_Old,True,False,93.83983797111658,95.30598205383848,4.51027341285999,0.3250676729578144,0.3250676729578144,-0.00377887370351999,0.08568860231389293,-0.05335282650170014,0.08561591106753495,0.0007039774727208729,0.0
Pct_of_OI_NonRept_Short_Old,True,False,6.160073969707644,4.694017946161516,4.510316570891142,-0.325045038525193,0.325045038525193,0.003805206607657677,-0.08568860231389301,0.05335282650169996,-0.085615911067535,0.0007039774727208729,0.0
Traders_Other_Rept_Spread_All,True,False,48.06697819314642,44.27906976744186,11.662513304709782,-0.3247934923405276,0.3247934923405276,0.011634691259410706,0.08736977986456723,-0.04514846862582847,0.07054620158303573,0.7740232312565998,0.6570289132602194
weather_brazil_minas_gerais_soil_temperature_0_to_100cm_mean_roll5,False,True,21.103435721410552,21.751046859421734,1.994127423246751,0.32475915553920337,0.32475915553920337,0.012561755974697116,0.029118052276899606,-0.00989315135477619,0.04644328536406,0.00017599436818021823,0.0
NonComm_Positions_Short_Other,True,False,6382.17432862995,10173.96813353566,11713.405902711296,0.32371402787536163,0.32371402787536163,0.002836224871436487,0.04540585500880047,-0.024754028388205455,0.015902083986277113,0.22668074621612108,0.34297108673978066
volatility_10,False,False,0.01998023009047458,0.022546398545810024,0.007949599931592733,0.32280472947288325,0.32280472947288325,-0.03540166442798107,-0.08841571402365914,-0.05673617191682718,-0.05863561743928931,0.0008799718409010912,0.0
weather_brazil_minas_gerais_wind_speed_10m_mean_roll20,False,True,8.02362861987413,8.340074775672981,0.9838492051763698,0.3216409121783295,0.3216409121783295,0.026426169595161798,-0.07673587868711347,0.0035149555662938943,-0.08006613208693432,0.0015839493136219642,0.0
